9/13/2019 2:51:12 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 2:51:12 PM - Please wait ..fetching policy list from database
9/13/2019 2:51:12 PM - Policy list found from database, count: 1
9/13/2019 2:51:12 PM - Policy ID starting: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 2:51:12 PM - Follow up running  for Policy number: testSpeed
9/13/2019 2:51:13 PM - Details fetching for policyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 2:51:13 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _MasterPolicyMode : Monthly
9/13/2019 2:51:13 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Last follow up runs updated
9/13/2019 2:51:13 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=7/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=6/28/2019 12:00:00 AM}
9/13/2019 2:51:19 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, IsTrackPayment true 
9/13/2019 2:51:21 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, DateRangeForMissingLst calculated successfully
9/13/2019 2:51:24 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst count: 0
9/13/2019 2:51:29 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Processing starts for  _DateRangeForMissingLst
9/13/2019 2:53:35 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=7/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=9/13/2019 12:00:00 AM}
9/13/2019 2:53:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, IsTrackPayment true 
9/13/2019 2:53:50 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, DateRangeForMissingLst calculated successfully
9/13/2019 2:53:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst count: 0
9/13/2019 2:53:59 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Processing starts for  _DateRangeForMissingLst
9/13/2019 2:54:07 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:54:08 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:54:09 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:54:09 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:54:12 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:54:17 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:54:18 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:54:41 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:54:57 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:54:58 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissInv (2)
9/13/2019 2:54:58 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:55:23 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:14 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=1/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=6/28/2019 12:00:00 AM}
9/13/2019 2:58:16 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, IsTrackPayment true 
9/13/2019 2:58:21 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, DateRangeForMissingLst calculated successfully
9/13/2019 2:58:28 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst count: 1
9/13/2019 2:58:28 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Processing starts for  _DateRangeForMissingLst
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:58:34 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissInv (2)
9/13/2019 2:58:34 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
